Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	1	553 milyar 922 milyon lira vergi tahakkuk ettirildi . VEHBİ KOÇ'UN İKİ KIZI YİNE İLK ÜÇTE Geçen yılın rekortmenler listesinde	<<< iki ve üçüncü >>>	sıralarda yeralan Sevgi Gönül ile Semahat Sevim Arsel ise bu yıl yer değiştirdi . 2001 listesinde 2 trilyon 320.9 milyar	553_Num milyar_Noun 922_Num milyon_Adj lira_Noun vergi_Noun tahakkuk_Noun ettirildi_Verb ._Punc VEHBİ_Noun KOÇ'UN_Undef İKİ_Adj KIZI_Noun YİNE_Adv İLK_Adj ÜÇTE_Adj Geçen_Adj yılın_Noun rekortmenler_Noun listesinde_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	sıralarda_Noun yeralan_Undef Sevgi_Noun Gönül_Noun ile_Postp Semahat_Noun Sevim_Noun Arsel_Undef ise_Verb bu_Det yıl_Noun yer_Noun değiştirdi_Verb ._Punc 2001_Num listesinde_Noun 2_Num trilyon_Noun 320.9_Num milyar_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=0&uT=y	3512558	3512560
2	1	gelişimi kontrol edilir . Doktora 26 - 28'inci haftaya kadar 4 haftada bir , 28 - 34'üncü haftayakadar 3 haftada	<<< bir ve 35'inci >>>	haftadan sonra ise haftada bir gidilmelidir . SEZARYEN EMNİYETLİ BİR DOĞUM ŞEKLİ DEĞİL Aksi bir durum gerekmediği sürece normal doğumun	gelişimi_Noun kontrol_Noun edilir_Verb ._Punc Doktora_Noun 26_Num -_Punc 28'inci_Undef haftaya_Noun kadar_Postp 4_Num haftada_Noun bir_Det ,_Punc 28_Num -_Punc 34'üncü_Undef haftayakadar_Undef 3_Num haftada_Noun	<<< bir_Det ve_Conj 35'inci_Undef >>>	haftadan_Noun sonra_Postp ise_Verb haftada_Noun bir_Det gidilmelidir_Verb ._Punc SEZARYEN_Noun EMNİYETLİ_Noun BİR_Det DOĞUM_Noun ŞEKLİ_Noun DEĞİL_Conj Aksi_Adj bir_Det durum_Noun gerekmediği_Verb sürece_Noun normal_Adj doğumun_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=1&uT=y	6778125	6778127
3	1	ayı içindeki sözümüzü de gerçekleştirmiş olmanın ayrıca mutluluğunu duymaktayım . Böylece ikisi 900 , ikisi de 1800 Mhz bandında çalışan	<<< bir ve ikinci >>>	jenerasyon mobil haberleşme hizmetlerinin ülkemizde 4 işletmeci tarafından sunulması sağlanmıştır . Bu durumda anılan hizletlerin tam bir rekabet ortamında halkımızın	ayı_Noun içindeki_Noun sözümüzü_Noun de_Conj gerçekleştirmiş_Noun olmanın_Verb ayrıca_Adv mutluluğunu_Adj duymaktayım_Verb ._Punc Böylece_Adv ikisi_Adj 900_Num ,_Punc ikisi_Adj de_Conj 1800_Num Mhz_Undef bandında_Noun çalışan_Verb	<<< bir_Det ve_Conj ikinci_Adj >>>	jenerasyon_Noun mobil_Adj haberleşme_Verb hizmetlerinin_Noun ülkemizde_Noun 4_Num işletmeci_Noun tarafından_Noun sunulması_Verb sağlanmıştır_Verb ._Punc Bu_Det durumda_Noun anılan_Verb hizletlerin_Undef tam_Adj bir_Det rekabet_Noun ortamında_Noun halkımızın_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=2&uT=y	9259968	9259970
4	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . 13 Aralık 2006 , 23:38 Turu garantileyen iki ekip İngiltere’de	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc 13_Num Aralık_Noun 2006_Num ,_Punc 23:38_Undef Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=3&uT=y	10182496	10182498
5	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . 13 Aralık 2006 , 23:38 Turu garantileyen iki ekip İngiltere’de	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc 13_Num Aralık_Noun 2006_Num ,_Punc 23:38_Undef Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=4&uT=y	11451037	11451039
6	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . Turu garantileyen iki ekip İngiltere’de grup liderliği için mücadele ettiler	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun grup_Noun liderliği_Noun için_Postp mücadele_Noun ettiler_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=5&uT=y	11855948	11855950
7	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . 13 Aralık 2006 , 23:38 Turu garantileyen iki ekip İngiltere’de	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc 13_Num Aralık_Noun 2006_Num ,_Punc 23:38_Undef Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=6&uT=y	13501465	13501467
8	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . Turu garantileyen iki ekip İngiltere’de grup liderliği için mücadele ettiler	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun grup_Noun liderliği_Noun için_Postp mücadele_Noun ettiler_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=7&uT=y	13921965	13921967
9	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . 13 Aralık 2006 , 23:38 Turu garantileyen iki ekip İngiltere’de	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc 13_Num Aralık_Noun 2006_Num ,_Punc 23:38_Undef Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=8&uT=y	14280555	14280557
10	1	, bu gruplardaki heyecan sona erdi . Gruplarında ilk üç sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . . Turu garantileyen iki ekip İngiltere’de grup liderliği için mücadele ettiler	,_Punc bu_Det gruplardaki_Noun heyecan_Noun sona_Noun erdi_Verb ._Punc Gruplarında_Noun ilk_Adj üç_Adj sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc Turu_Noun garantileyen_Verb iki_Adj ekip_Noun İngiltere’de_Noun grup_Noun liderliği_Noun için_Postp mücadele_Noun ettiler_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=9&uT=y	15018877	15018879
