Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	1	KOÇ'UN İKİ KIZI YİNE İLK ÜÇTE Geçen yılın rekortmenler listesinde	<<< iki ve üçüncü >>>	sıralarda yeralan Sevgi Gönül ile Semahat Sevim Arsel ise bu	KOÇ'UN_Undef İKİ_Adj KIZI_Noun YİNE_Adv İLK_Adj ÜÇTE_Adj Geçen_Adj yılın_Noun rekortmenler_Noun listesinde_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	sıralarda_Noun yeralan_Undef Sevgi_Noun Gönül_Noun ile_Postp Semahat_Noun Sevim_Noun Arsel_Undef ise_Verb bu_Det	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=0&uT=y	3512558	3512560
2	1	4 haftada bir , 28 - 34'üncü haftayakadar 3 haftada	<<< bir ve 35'inci >>>	haftadan sonra ise haftada bir gidilmelidir . SEZARYEN EMNİYETLİ BİR	4_Num haftada_Noun bir_Det ,_Punc 28_Num -_Punc 34'üncü_Undef haftayakadar_Undef 3_Num haftada_Noun	<<< bir_Det ve_Conj 35'inci_Undef >>>	haftadan_Noun sonra_Postp ise_Verb haftada_Noun bir_Det gidilmelidir_Verb ._Punc SEZARYEN_Noun EMNİYETLİ_Noun BİR_Det	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=1&uT=y	6778125	6778127
3	1	Böylece ikisi 900 , ikisi de 1800 Mhz bandında çalışan	<<< bir ve ikinci >>>	jenerasyon mobil haberleşme hizmetlerinin ülkemizde 4 işletmeci tarafından sunulması sağlanmıştır	Böylece_Adv ikisi_Adj 900_Num ,_Punc ikisi_Adj de_Conj 1800_Num Mhz_Undef bandında_Noun çalışan_Verb	<<< bir_Det ve_Conj ikinci_Adj >>>	jenerasyon_Noun mobil_Adj haberleşme_Verb hizmetlerinin_Noun ülkemizde_Noun 4_Num işletmeci_Noun tarafından_Noun sunulması_Verb sağlanmıştır_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=2&uT=y	9259968	9259970
4	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=3&uT=y	10182496	10182498
5	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=4&uT=y	11451037	11451039
6	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=5&uT=y	11855948	11855950
7	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=6&uT=y	13501465	13501467
8	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=7&uT=y	13921965	13921967
9	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=8&uT=y	14280555	14280557
10	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=9&uT=y	15018877	15018879
